Country;Country.Code;CO2_2006;CO2_2016;CH4_2006;CH4_2016
Afghanistan;AFG;1940;7390;14890;78150
Angola;AGO;20340;35410;31180;37400
Albania;ALB;4050;4930;3530;3250
Andorre;AND;550;470;40;50
United Arab Emirates;ARE;121460;199460;35390;50680
Argentina;ARG;155370;184280;122760;115580
Armenia;ARM;4490;5070;2150;2570
Antigua-et-Barbuda;ATG;440;500;200;200
Australia;AUS;375060;383960;147870;118280
Austria;AUT;74100;63390;8060;6800
Azerbaijan;AZE;34170;32660;30040;44820
Burundi;BDI;190;460;1340;1860
Belgium;BEL;108650;94320;9860;8450
Benin;BEN;3830;7230;4020;5380
Burkina Faso;BFA;1400;3500;11760;15380
Bangladesh;BGD;35900;73740;73270;80240
Bulgaria;BGR;48970;41740;8490;7090
Bahreïn;BHR;22500;30200;9430;14240
Bahamas;BHS;2020;2190;200;230
Bosnia and Herzegovina;BIH;17910;22340;3640;3460
Belarus;BLR;58810;55210;14150;16550
Belize;BLZ;510;650;350;500
Bolivia;BOL;11160;21610;20300;24830
Brazil;BRA;333980;441910;392850;424800
Barbade;BRB;1470;1310;2270;2330
Brunei Darussalam;BRN;7220;6410;12060;9260
Bhoutan;BTN;400;1230;900;870
Botswana;BWA;4090;7120;5510;3870
Central African Republic;CAF;260;310;18020;23340
Canada;CAN;541070;550480;101440;90490
Switzerland;CHE;45480;39610;5300;4860
Chile;CHL;57050;86160;13530;13000
China;CHN;6431910;9814310;883360;1242150
CÃ´te d'Ivoire;CIV;5630;9320;14670;6910
Cameroon;CMR;6950;8550;12840;14760
Democratic Republic of the Congo;COD;1600;2060;30920;37790
Congo;COG;4950;3350;2610;3430
Colombia;COL;57720;83760;68160;71920
Comores;COM;150;200;210;280
Cabo Verde;CPV;500;550;110;130
Costa Rica;CRI;6560;8080;3920;4810
Cuba;CUB;26300;28450;12190;12980
Cyprus;CYP;7940;7150;670;720
Czechia;CZE;120600;102860;14280;12440
Germany;DEU;814160;747150;66720;55520
Djibouti;DJI;430;490;650;680
Dominique;DMA;170;180;40;40
Denmark;DNK;58210;35380;8020;7170
Dominican Republic;DOM;20320;24460;7350;8980
Algeria;DZA;93750;143350;48510;49400
Ecuador;ECU;29110;39010;20120;20510
Egypt;EGY;169130;233960;52150;56310
Eritrea;ERI;520;660;3260;3690
Spain;ESP;341780;247030;40100;39260
Estonia;EST;15890;15650;1300;1070
Ethiopia;ETH;5400;14950;67280;100810
Finland;FIN;67020;45710;5540;4470
Fidji;FJI;1370;1740;850;630
France;FRA;371600;312710;67970;59940
Micronesia;FSM;140;170;50;60
Gabon;GAB;4040;5710;1010;1130
United Kingdom;GBR;541640;378890;83520;52050
Georgia;GEO;4700;9650;6020;5380
Ghana;GHA;8430;14110;11480;20230
Guinea;GIN;1900;2830;10390;17460
The Gambia;GMB;360;530;1080;1640
Guinea Bissau;GNB;220;300;1200;1450
Equatorial Guinea;GNQ;9160;5600;17100;13240
Greece;GRC;100700;66850;10940;9400
Grenade;GRD;260;280;1920;2010
Guatemala;GTM;11510;17460;9160;11540
Guyana;GUY;1330;2310;1110;1440
Honduras;HND;8030;9400;6960;7970
Croatia;HRV;21620;16940;3740;3740
Haiti;HTI;1720;3400;4270;4670
Hungary;HUN;55460;44480;8230;7200
Indonesia;IDN;364100;494980;279110;277450
India;IND;1214250;2183280;630640;657690
Irland;IRL;47810;38710;16060;16490
Iran;IRN;490770;605760;127540;143250
Iraq;IRQ;83890;172350;12280;15840
Iceland;ISL;2330;2070;610;550
Israel;ISR;64330;65260;7850;11730
Italy;ITA;466650;333340;49130;44680
Jamaica;JAM;12060;7750;870;800
Jordan;JOR;20170;24860;4300;6050
Japan;JPN;1190260;1171390;26740;21440
Kazakhstan;KAZ;180210;223020;36150;40060
Kenya;KEN;9300;18770;23680;40480
Kyrgyz Republic;KGZ;5320;9700;3740;4800
Cambodia;KHM;2950;9900;18360;20160
Kiribati;KIR;70;80;20;20
Republic of Korea;KOR;486940;614780;26460;25770
Kuwait;KWT;69670;89880;4620;5870
Lao PDR;LAO;1640;15360;5980;7850
Lebanon;LBN;16230;27810;2500;3100
Liberia;LBR;690;1410;2890;6070
Libya;LBY;49370;51180;82510;29890
Sainte-Lucie;LCA;410;350;240;270
Liechtenstein;LIE;230;150;20;20
Sri Lanka;LKA;12410;21930;8610;9900
Lesotho;LSO;1920;2270;1570;2250
Lithuania;LTU;13020;11200;4190;3320
Luxembourg;LUX;11740;8860;550;550
Latvia;LVA;8200;7150;2050;1990
Morocco;MAR;46190;63080;13430;17200
Moldova;MDA;7980;8140;3460;3370
Madagascar;MDG;1640;3220;18210;17810
Maldives;MDV;870;1750;80;120
Mexico;MEX;449710;479250;112570;141710
Îles Marshall;MHL;140;180;30;30
Macedonia;MKD;9370;7390;2350;2490
Mali;MLI;1890;4420;15290;22060
Malte;MLT;2650;1350;260;220
Myanmar;MMR;10210;21890;60640;67010
Montenegro;MNE;2180;2110;700;830
