Country;Country.Code;CO2_2006;CO2_2016;CH4_2006;CH4_2016;lat ;lon;total_2006;total_2016
China;CHN;6431910;9814310;883360;1242150;35;105;7315270;11056460
United Kingdom;GBR;541640;378890;83520;52050;54,7;-3,28;625160;430940
United States;USA;5656580;4888640;653140;609200;39,8;-100;6309720;5497840
Russian Federation;RUS;1590090;1530900;780690;852550;64,7;97,7;2370780;2383450
India;IND;1214250;2183280;630640;657690;22,4;78,7;1844890;2840970
Japan;JPN;1190260;1171390;26740;21440;36,6;139;1217000;1192830
Germany;DEU;814160;747150;66720;55520;51,1;10,4;880880;802670
Canada;CAN;541070;550480;101440;90490;61,1;-108;642510;640970
Iran;IRN;490770;605760;127540;143250;32,6;54,6;618310;749010
Republic of Korea;KOR;486940;614780;26460;25770;36,6;128;513400;640550
Saudi Arabia;SAU;328350;556740;40600;42570;25,6;42,4;368950;599310
Brazil;BRA;333980;441910;392850;424800;-10,3;-53,2;726830;866710
Indonesia;IDN;364100;494980;279110;277450;-2,48;118;643210;772430
Pakistan;PAK;132480;180570;109300;143280;30,3;71,2;241780;323850
Mexico;MEX;449710;479250;112570;141710;22,5;-100;562280;620960
Nigeria;NGA;92200;108420;103860;126910;9,6;8;196060;235330
Australia;AUS;375060;383960;147870;118280;-24,8;13,5;522930;502240
Argentina;ARG;155370;184280;122760;115580;-35;-65;278130;299860
