Country;Country.Code;CO2;annee;CH4;prop_CO2;prop_CH4;lat ;lon;Ges;prop_2006;prop_2016
China;CHN;6431910;2006;883360;22,79;12,00;35;105;CO2;22,79;29,79
United Kingdom;GBR;541640;2006;83520;1,92;1,13;54,7;-3,28;CO2;1,92;1,15
United States;USA;5656580;2006;653140;20,04;8,88;39,8;-100;CO2;20,04;14,84
Russian Federation;RUS;1590090;2006;780690;5,63;10,61;64,7;97,7;CO2;5,63;4,65
India;IND;1214250;2006;630640;4,30;8,57;22,4;78,7;CO2;4,30;6,63
Japan;JPN;1190260;2006;26740;4,22;0,36;36,6;139;CO2;4,22;3,56
Germany;DEU;814160;2006;66720;2,88;0,91;51,1;10,4;CO2;2,88;2,27
Canada;CAN;541070;2006;101440;1,92;1,38;61,1;-108;CO2;1,92;1,67
Iran;IRN;490770;2006;127540;1,74;1,73;32,6;54,6;CO2;1,74;1,84
Republic of Korea;KOR;486940;2006;26460;1,73;0,36;36,6;128;CO2;1,73;1,87
Saudi Arabia;SAU;328350;2006;40600;1,16;0,55;25,6;42,4;CO2;1,16;1,69
Brazil;BRA;333980;2006;392850;1,18;5,34;-10,3;-53,2;CO2;1,18;1,34
Indonesia;IDN;364100;2006;279110;1,29;3,79;-2,48;118;CO2;1,29;1,50
Pakistan;PAK;132480;2006;109300;0,47;1,49;30,3;71,2;CO2;0,47;0,55
Mexico;MEX;449710;2006;112570;1,59;1,53;22,5;-100;CO2;1,59;1,45
Nigeria;NGA;92200;2006;103860;0,33;1,41;9,6;8;CO2;0,33;0,33
Australia;AUS;375060;2006;147870;1,33;2,01;-24,8;13,5;CO2;1,33;1,17
Argentina;ARG;155370;2006;122760;0,55;1,67;-35;-65;CO2;0,55;0,56
China;CHN;9814310;2016;1242150;29,79;15,39;35;105;CH4;12,00;15,39
United Kingdom;GBR;378890;2016;52050;1,15;0,65;54,7;-3,28;CH4;1,13;0,65
United States;USA;4888640;2016;609200;14,84;7,55;39,8;-100;CH4;8,88;7,55
Russian Federation;RUS;1530900;2016;852550;4,65;10,57;64,7;97,7;CH4;10,61;10,57
India;IND;2183280;2016;657690;6,63;8,15;22,4;78,7;CH4;8,57;8,15
Japan;JPN;1171390;2016;21440;3,56;0,27;36,6;139;CH4;0,36;0,27
Germany;DEU;747150;2016;55520;2,27;0,69;51,1;10,4;CH4;0,91;0,69
Canada;CAN;550480;2016;90490;1,67;1,12;61,1;-108;CH4;1,38;1,12
Iran;IRN;605760;2016;143250;1,84;1,78;32,6;54,6;CH4;1,73;1,78
Republic of Korea;KOR;614780;2016;25770;1,87;0,32;36,6;128;CH4;0,36;0,32
Saudi Arabia;SAU;556740;2016;42570;1,69;0,53;25,6;42,4;CH4;0,55;0,53
Brazil;BRA;441910;2016;424800;1,34;5,26;-10,3;-53,2;CH4;5,34;5,26
Indonesia;IDN;494980;2016;277450;1,50;3,44;-2,48;118;CH4;3,79;3,44
Pakistan;PAK;180570;2016;143280;0,55;1,78;30,3;71,2;CH4;1,49;1,78
Mexico;MEX;479250;2016;141710;1,45;1,76;22,5;-100;CH4;1,53;1,76
Nigeria;NGA;108420;2016;126910;0,33;1,57;9,6;8;CH4;1,41;1,57
Australia;AUS;383960;2016;118280;1,17;1,47;-24,8;13,5;CH4;2,01;1,47
Argentina;ARG;184280;2016;115580;0,56;1,43;-35;-65;CH4;1,67;1,43
