Country Name;Annee;CO2;CH4;TOTAL
Argentina;1970;3.46;3.56;7.02
Australia;1970;11.80;7.54;19.34
Brazil;1970;0.99;2.18;3.17
Canada;1970;16.01;3.16;19.17
China;1970;0.94;0.95;1.89
France;1970;8.45;1.60;10.05
Germany;1970;0.00;1.62;1.62
India;1970;0.35;0.72;1.07
Indonesia;1970;0.31;1.10;1.41
Iran;1970;3.22;1.82;5.04
Japan;1970;7.44;0.98;8.42
Korea;1970;1.67;0.80;2.47
Mexico;1970;2.22;1.18;3.40
Nigeria;1970;0.05;7.80;7.85
Pakistan;1970;0.42;0.97;1.39
Russia;1970;18.09;2.60;20.69
Saudi Arabia;1970;7.76;5.44;13.20
United Kingdom;1970;11.73;2.16;13.89
United States;1970;21.11;2.90;24.01
Koweit;1970;33.64;29.43;63.07
Qatar;1970;69.11;43.61;112.72
Argentina;1971;3.67;3.49;7.16
Australia;1971;11.81;7.25;19.06
Brazil;1971;1.05;1.86;2.91
Canada;1971;16.06;3.10;19.16
China;1971;1.04;0.97;2.01
France;1971;8.83;1.56;10.39
Germany;1971;0.00;1.61;1.61
India;1971;0.36;0.71;1.07
Indonesia;1971;0.33;1.01;1.34
Iran;1971;3.47;1.89;5.36
Japan;1971;7.55;0.88;8.43
Korea;1971;1.78;0.78;2.56
Mexico;1971;2.38;1.16;3.54
Nigeria;1971;0.05;8.89;8.94
Pakistan;1971;0.39;0.95;1.34
Russia;1971;19.09;2.62;21.71
Saudi Arabia;1971;9.80;6.17;15.97
United Kingdom;1971;11.82;2.16;13.98
United States;1971;20.98;2.79;23.77
Koweit;1971;33.98;28.89;62.87
Qatar;1971;76.65;47.75;124.40
Argentina;1972;3.66;3.59;7.25
Australia;1972;11.95;8.07;20.02
Brazil;1972;1.15;2.03;3.18
Canada;1972;17.15;2.97;20.12
China;1972;1.08;0.96;2.04
France;1972;9.11;1.54;10.65
Germany;1972;0.00;1.57;1.57
India;1972;0.37;0.69;1.06
Indonesia;1972;0.36;1.61;1.97
Iran;1972;3.53;2.02;5.55
Japan;1972;7.96;0.83;8.79
Korea;1972;1.80;0.77;2.57
Mexico;1972;2.42;1.13;3.55
Nigeria;1972;0.05;9.81;9.86
Pakistan;1972;0.31;0.93;1.24
Russia;1972;19.98;2.78;22.76
Saudi Arabia;1972;11.00;7.66;18.66
United Kingdom;1972;11.56;2.07;13.63
United States;1972;21.75;2.79;24.54
Koweit;1972;32.44;27.25;59.69
Qatar;1972;82.64;51.70;134.34
Argentina;1973;3.75;3.62;7.37
Australia;1973;12.78;7.30;20.08
Brazil;1973;1.30;1.89;3.19
Canada;1973;16.97;2.99;19.96
China;1973;1.10;0.94;2.04
France;1973;9.71;1.52;11.23
Germany;1973;0.00;1.57;1.57
India;1973;0.38;0.69;1.07
Indonesia;1973;0.40;1.10;1.50
Iran;1973;4.19;2.23;6.42
Japan;1973;8.42;0.81;9.23
Korea;1973;2.14;0.78;2.92
Mexico;1973;2.56;1.10;3.66
Nigeria;1973;0.07;10.79;10.86
Pakistan;1973;0.32;0.92;1.24
Russia;1973;20.70;2.79;23.49
Saudi Arabia;1973;14.17;9.75;23.92
United Kingdom;1973;11.75;2.16;13.91
United States;1973;22.51;2.78;25.29
Koweit;1973;26.77;22.04;48.81
Qatar;1973;87.69;52.63;140.32
Argentina;1974;3.75;3.61;7.36
Australia;1974;12.56;7.49;20.05
Brazil;1974;1.37;1.98;3.35
Canada;1974;17.10;2.91;20.01
China;1974;1.10;0.92;2.02
France;1974;9.31;1.51;10.82
Germany;1974;0.00;1.58;1.58
India;1974;0.38;0.68;1.06
Indonesia;1974;0.40;0.96;1.36
Iran;1974;4.53;2.20;6.73
Japan;1974;8.31;0.79;9.10
Korea;1974;2.18;0.80;2.98
Mexico;1974;2.67;1.15;3.82
Nigeria;1974;0.06;11.75;11.81
Pakistan;1974;0.33;0.93;1.26
Russia;1974;21.37;2.85;24.22
Saudi Arabia;1974;14.00;9.80;23.80
United Kingdom;1974;10.98;2.11;13.09
United States;1974;21.50;2.75;24.25
Koweit;1974;20.10;16.14;36.24
Qatar;1974;68.27;41.63;109.90
Argentina;1975;3.67;3.63;7.30
Australia;1975;12.66;7.71;20.37
Brazil;1975;1.41;2.08;3.49
Canada;1975;17.16;2.80;19.96
China;1975;1.25;0.93;2.18
France;1975;8.29;1.54;9.83
Germany;1975;0.00;1.58;1.58
India;1975;0.40;0.68;1.08
Indonesia;1975;0.41;0.93;1.34
Iran;1975;4.26;1.94;6.20
Japan;1975;7.80;0.76;8.56
Korea;1975;2.32;0.81;3.13
Mexico;1975;2.76;1.17;3.93
Nigeria;1975;0.06;9.69;9.75
Pakistan;1975;0.35;0.93;1.28
Russia;1975;22.34;2.94;25.28
Saudi Arabia;1975;11.23;7.38;18.61
United Kingdom;1975;10.74;2.17;12.91
United States;1975;20.40;2.73;23.13
Koweit;1975;16.47;12.15;28.62
Qatar;1975;66.68;35.04;101.72
Argentina;1976;3.80;3.70;7.50
Australia;1976;12.42;8.15;20.57
Brazil;1976;1.41;2.26;3.67
Canada;1976;17.03;2.89;19.92
China;1976;1.29;0.93;2.22
France;1976;9.33;1.57;10.90
Germany;1976;0.00;1.59;1.59
India;1976;0.41;0.66;1.07
Indonesia;1976;0.46;1.10;1.56
Iran;1976;4.64;2.08;6.72
Japan;1976;8.06;0.76;8.82
Korea;1976;2.60;0.78;3.38
Mexico;1976;3.01;1.18;4.19
Nigeria;1976;0.06;10.28;10.34
Pakistan;1976;0.33;0.92;1.25
Russia;1976;23.04;3.05;26.09
Saudi Arabia;1976;13.01;8.76;21.77
United Kingdom;1976;10.65;2.16;12.81
United States;1976;21.16;2.70;23.86
Koweit;1976;17.01;11.13;28.14
Qatar;1976;59.78;33.12;92.90
Argentina;1977;3.78;3.74;7.52
Australia;1977;13.23;7.82;21.05
Brazil;1977;1.45;2.05;3.50
Canada;1977;17.20;2.75;19.95
China;1977;1.39;0.92;2.31
France;1977;8.83;1.62;10.45
Germany;1977;0.00;1.58;1.58
India;1977;0.43;0.66;1.09
Indonesia;1977;0.60;1.52;2.12
Iran;1977;4.71;1.95;6.66
Japan;1977;8.21;0.75;8.96
Korea;1977;2.90;0.78;3.68
Mexico;1977;3.07;1.16;4.23
Nigeria;1977;0.07;9.42;9.49
Pakistan;1977;0.34;0.93;1.27
Russia;1977;23.66;3.09;26.75
Saudi Arabia;1977;14.40;8.54;22.94
United Kingdom;1977;10.76;2.14;12.90
United States;1977;21.53;2.65;24.18
Koweit;1977;14.93;9.34;24.27
Qatar;1977;54.45;27.50;81.95
Argentina;1978;3.79;3.58;7.37
Australia;1978;14.07;6.95;21.02
Brazil;1978;1.54;2.13;3.67
Canada;1978;17.36;2.61;19.97
China;1978;1.53;0.92;2.45
France;1978;9.25;1.63;10.88
Germany;1978;0.00;1.60;1.60
India;1978;0.42;0.65;1.07
Indonesia;1978;0.67;1.09;1.76
Iran;1978;4.52;1.81;6.33
Japan;1978;7.87;0.70;8.57
Korea;1978;3.07;0.78;3.85
Mexico;1978;3.45;1.21;4.66
Nigeria;1978;0.07;9.09;9.16
Pakistan;1978;0.36;0.94;1.30
Russia;1978;24.30;3.17;27.47
Saudi Arabia;1978;13.32;7.32;20.64
United Kingdom;1978;10.77;2.16;12.93
United States;1978;21.97;2.61;24.58
Koweit;1978;17.16;10.09;27.24
Qatar;1978;54.87;29.42;84.28
Argentina;1979;4.03;3.52;7.55
Australia;1979;14.13;7.33;21.46
Brazil;1979;1.60;2.16;3.76
Canada;1979;18.27;3.02;21.29
China;1979;1.54;0.90;2.44
France;1979;9.64;1.64;11.28
Germany;1979;0.00;1.64;1.64
India;1979;0.43;0.64;1.07
Indonesia;1979;0.66;1.28;1.94
Iran;1979;4.40;1.30;5.70
Japan;1979;8.25;0.69;8.94
Korea;1979;3.55;0.77;4.32
Mexico;1979;3.64;1.24;4.88
Nigeria;1979;0.08;11.30;11.38
Pakistan;1979;0.37;0.93;1.30
Russia;1979;24.33;3.24;27.57
Saudi Arabia;1979;15.12;7.45;22.57
United Kingdom;1979;11.47;2.22;13.69
United States;1979;21.78;2.67;24.45
Koweit;1979;13.63;10.22;23.85
Qatar;1979;69.99;25.00;94.99
Argentina;1980;3.90;3.43;7.33
Australia;1980;15.02;7.46;22.48
Brazil;1980;1.55;2.28;3.83
Canada;1980;18.08;3.22;21.30
China;1980;1.50;0.89;2.39
France;1980;9.16;1.60;10.76
Germany;1980;0.00;1.65;1.65
India;1980;0.45;0.64;1.09
Indonesia;1980;0.64;1.24;1.88
Iran;1980;3.13;0.94;4.07
Japan;1980;8.11;0.66;8.77
Korea;1980;3.54;0.76;4.30
Mexico;1980;3.96;1.30;5.26
Nigeria;1980;0.10;10.31;10.41
Pakistan;1980;0.41;0.89;1.30
Russia;1980;25.11;3.31;28.42
Saudi Arabia;1980;17.48;7.85;25.33
United Kingdom;1980;10.29;2.21;12.50
United States;1980;20.79;2.67;23.46
Koweit;1980;18.03;6.72;24.75
Qatar;1980;58.57;18.89;77.47
Argentina;1981;3.60;3.29;6.89
Australia;1981;15.43;6.53;21.96
Brazil;1981;1.39;2.17;3.56
Canada;1981;17.32;3.16;20.48
China;1981;1.46;0.87;2.33
France;1981;8.20;1.55;9.75
Germany;1981;0.00;1.65;1.65
India;1981;0.47;0.63;1.10
Indonesia;1981;0.66;1.12;1.78
Iran;1981;2.81;0.87;3.68
Japan;1981;7.90;0.64;8.54
Korea;1981;3.61;0.76;4.37
Mexico;1981;4.10;1.34;5.44
Nigeria;1981;0.11;8.49;8.60
Pakistan;1981;0.43;0.90;1.33
Russia;1981;24.48;3.39;27.87
Saudi Arabia;1981;17.02;6.09;23.11
United Kingdom;1981;9.96;2.20;12.16
United States;1981;19.77;2.65;22.42
Koweit;1981;17.52;4.49;22.01
Qatar;1981;51.86;13.11;64.97
Argentina;1982;3.59;3.19;6.78
Australia;1982;15.42;7.10;22.52
Brazil;1982;1.36;2.18;3.54
Canada;1982;16.52;2.75;19.27
China;1982;1.57;0.86;2.43
France;1982;7.84;1.49;9.33
Germany;1982;0.00;1.63;1.63
India;1982;0.48;0.62;1.10
Indonesia;1982;0.68;3.08;3.76
Iran;1982;3.30;1.09;4.39
Japan;1982;7.60;0.63;8.23
Korea;1982;3.61;0.75;4.36
Mexico;1982;4.29;1.44;5.73
Nigeria;1982;0.12;7.95;8.07
Pakistan;1982;0.45;0.88;1.33
Russia;1982;24.78;3.50;28.28
Saudi Arabia;1982;14.39;4.62;19.01
United Kingdom;1982;9.74;2.20;11.94
United States;1982;18.59;2.62;21.21
Koweit;1982;14.04;3.33;17.37
Qatar;1982;44.56;11.77;56.34
Argentina;1983;3.60;3.22;6.82
Australia;1983;14.64;6.44;21.08
Brazil;1983;1.29;2.16;3.45
Canada;1983;16.11;2.73;18.84
China;1983;1.63;0.87;2.50
France;1983;7.54;1.48;9.02
Germany;1983;0.00;1.59;1.59
India;1983;0.51;0.63;1.14
Indonesia;1983;0.66;1.46;2.12
Iran;1983;3.43;1.03;4.46
Japan;1983;7.41;0.63;8.04
Korea;1983;3.78;0.77;4.55
Mexico;1983;3.83;1.35;5.18
Nigeria;1983;0.15;7.74;7.89
Pakistan;1983;0.47;0.87;1.34
Russia;1983;24.99;3.56;28.55
Saudi Arabia;1983;13.76;3.56;17.32
United Kingdom;1983;9.69;2.20;11.89
United States;1983;18.57;2.53;21.10
Koweit;1983;13.70;3.80;17.51
Qatar;1983;36.43;9.11;45.54
Argentina;1984;3.58;3.19;6.77
Australia;1984;15.22;6.53;21.75
Brazil;1984;1.28;2.03;3.31
Canada;1984;16.62;2.78;19.40
China;1984;1.75;0.88;2.63
France;1984;7.19;1.48;8.67
Germany;1984;0.00;1.59;1.59
India;1984;0.51;0.62;1.13
Indonesia;1984;0.69;1.01;1.70
Iran;1984;3.31;0.84;4.15
Japan;1984;7.83;0.62;8.45
Korea;1984;4.06;0.80;4.86
Mexico;1984;3.73;1.31;5.04
Nigeria;1984;0.15;7.85;8.00
Pakistan;1984;0.48;0.85;1.33
Russia;1984;25.02;3.68;28.70
Saudi Arabia;1984;12.54;2.21;14.75
United Kingdom;1984;9.38;1.90;11.28
United States;1984;18.98;2.58;21.56
Koweit;1984;17.17;3.92;21.09
Qatar;1984;36.14;12.36;48.50
Argentina;1985;3.33;3.13;6.46
Australia;1985;15.31;7.22;22.53
Brazil;1985;1.34;2.05;3.39
Canada;1985;16.33;2.85;19.18
China;1985;1.87;0.86;2.73
France;1985;7.08;1.44;8.52
Germany;1985;0.00;1.62;1.62
India;1985;0.54;0.61;1.15
Indonesia;1985;0.73;1.01;1.74
Iran;1985;3.40;0.81;4.21
Japan;1985;7.58;0.62;8.20
Korea;1985;4.37;0.82;5.19
Mexico;1985;3.80;1.30;5.10
Nigeria;1985;0.14;7.77;7.91
Pakistan;1985;0.51;0.83;1.34
Russia;1985;26.78;3.76;30.54
Saudi Arabia;1985;13.16;1.79;14.95
United Kingdom;1985;9.90;2.07;11.97
United States;1985;18.88;2.53;21.41
Koweit;1985;16.80;3.71;20.52
Qatar;1985;33.45;10.20;43.65
Argentina;1986;3.39;3.08;6.47
Australia;1986;14.98;6.82;21.80
Brazil;1986;1.44;2.09;3.53
Canada;1986;15.52;2.81;18.33
China;1986;1.94;0.87;2.81
France;1986;6.77;1.42;8.19
Germany;1986;0.00;1.60;1.60
India;1986;0.57;0.62;1.19
Indonesia;1986;0.72;1.35;2.07
Iran;1986;3.01;0.78;3.79
Japan;1986;7.53;0.61;8.14
Korea;1986;4.43;0.82;5.25
Mexico;1986;3.80;1.25;5.05
Nigeria;1986;0.13;7.59;7.72
Pakistan;1986;0.52;0.87;1.39
Russia;1986;26.66;3.88;30.54
Saudi Arabia;1986;14.85;2.05;16.90
United Kingdom;1986;10.03;2.16;12.19
United States;1986;18.72;2.49;21.21
Koweit;1986;19.28;3.55;22.83
Qatar;1986;33.43;10.02;43.46
Argentina;1987;3.69;3.05;6.74
Australia;1987;15.75;6.38;22.13
Brazil;1987;1.47;2.23;3.70
Canada;1987;16.31;2.80;19.11
China;1987;2.04;0.87;2.91
France;1987;6.59;1.37;7.96
Germany;1987;0.00;1.55;1.55
India;1987;0.60;0.61;1.21
Indonesia;1987;0.72;1.93;2.65
Iran;1987;3.12;0.78;3.90
Japan;1987;7.42;0.57;7.99
Korea;1987;4.63;0.81;5.44
Mexico;1987;3.88;1.23;5.11
Nigeria;1987;0.14;7.17;7.31
Pakistan;1987;0.54;0.86;1.40
Russia;1987;26.37;3.96;30.33
Saudi Arabia;1987;13.20;1.84;15.04
United Kingdom;1987;10.07;2.13;12.20
United States;1987;19.35;2.50;21.85
Koweit;1987;16.23;3.39;19.62
Qatar;1987;27.24;9.37;36.61
Argentina;1988;3.84;3.10;6.94
Australia;1988;15.80;6.27;22.07
Brazil;1988;1.46;2.11;3.57
Canada;1988;17.02;2.93;19.95
China;1988;2.15;0.87;3.02
France;1988;6.46;1.31;7.77
Germany;1988;0.00;1.51;1.51
India;1988;0.63;0.62;1.25
Indonesia;1988;0.76;0.92;1.68
Iran;1988;3.32;0.74;4.06
Japan;1988;8.07;0.56;8.63
Korea;1988;5.28;0.79;6.07
Mexico;1988;3.80;1.19;4.99
Nigeria;1988;0.13;7.49;7.62
Pakistan;1988;0.57;0.86;1.43
Russia;1988;26.90;4.09;30.99
Saudi Arabia;1988;13.44;2.07;15.51
United Kingdom;1988;10.02;2.11;12.13
United States;1988;20.01;2.53;22.54
Koweit;1988;16.18;3.58;19.75
Qatar;1988;26.89;9.23;36.12
Argentina;1989;3.64;3.12;6.76
Australia;1989;16.52;6.49;23.01
Brazil;1989;1.46;2.12;3.58
Canada;1989;16.98;3.39;20.37
China;1989;2.15;0.89;3.04
France;1989;6.74;1.30;8.04
Germany;1989;0.00;1.49;1.49
India;1989;0.68;0.62;1.30
Indonesia;1989;0.73;0.96;1.69
